DRVR_ZIP,count
75556,1
86045,1
32340,1
764240000,1
79089,1
76955,1
784160000,1
70128,1
75447,1
75260,1
79346,1
67716,1
78631,1
71103,1
75659,1
77369,1
71465,1
03741,1
28540,1
70039,1
78339,1
87413,1
81503,1
77441,1
60465,1
86442,1
79179,1
75626,1
78439,1
62223,1
76374,1
46259,1
75221,1
755228,1
87400,1
31558,1
79201,1
88655,1
30905,1
783790000,1
58554,1
76890,1
35160,1
77429-0000,1
88101,1
80022,1
75835,1
78832,1
79059,1
76524,1
757570000,1
29560,1
67846,1
95060,1
33626,1
75488,1
75476,1
73139,1
757500000,1
78773,1
32826,1
77611,1
93436,1
760150000,1
73641,1
75968,1
30044,1
75622,1
77861,1
72945,1
75144,1
750980000,1
78615,1
787380000,1
35565,1
85392,1
37920,1
76656,1
773551965,1
33458,1
32696,1
773960000,1
75568,1
74403,1
783700000,1
76561,1
79101,1
70360,1
48126,1
76025,1
33635,1
78147,1
02140,1
75501-5329,1
98040,1
78263,1
79539,1
78355,1
19607,1
77059,1
78638,1
76831,1
73644,1
76224,1
61011,1
